section	metric	scope	value
range	from	all	2026-06-01T00:00:00.000Z
range	to	all	2026-06-08T00:00:00.000Z
thresholds	target_revenue_multiple	economics	3
thresholds	max_provider_cost_to_net_revenue_ratio	economics	0.33
payments	gross_minor	yookassa:RUB	69000
payments	refund_minor	yookassa:RUB	0
payments	net_minor	yookassa:RUB	69000
payments	paid_orders	yookassa:RUB	1
credits	sold_units	all	300
credits	consumed_units	all	100
credits	reserved_units	all	0
liability	balance_units	all_accounts	200
liability	outstanding_net_revenue_rub	all_accounts	331.2
provider_costs	actual_usage_rub	all	38
provider_costs	modeled_usage_rub	all	55
failed_events	count	all	0
anomalies	count	all	0
provider_costs	actual_usage_rub	openrouter:analysis	38
provider_costs	modeled_usage_rub	standard	55
